111,63194,4.9900,0.0300,1.1000
222,48951,4.9600,0.0100,0.8000
113,34961,4.8800,0.0100,0.9800
224,34235,4.8200,0.0100,0.8100
211,27310,4.7200,0.0200,1.1700
122,25041,4.3500,0.0100,0.7500
131,22564,4.9300,0.0100,0.9700
133,20827,4.9800,0.0300,0.8900
244,20726,4.9800,0.0100,0.8100
242,19609,4.8800,0.0100,0.9200
444,17736,4.9300,0.0100,0.8200
221,16545,4.4000,0.0800,1.2200
442,16532,4.9700,0.0400,0.9700
311,16354,4.3500,0.0100,1.0300
333,15818,4.9700,0.0300,0.9300
112,15115,4.0400,0.0100,0.8400
331,14145,4.9800,0.0100,0.9700
422,12928,4.1800,0.0100,0.8900
421,12491,4.6200,0.0900,1.2000
411,11935,4.6000,0.0300,1.2100
322,11151,3.7300,0.0100,0.7400
313,10375,4.2800,0.0700,1.0200
312,9854,4.4900,0.0100,0.7600
424,9506,4.1400,0.0100,0.8600
241,8370,4.7800,0.2400,1.3000
132,7217,4.6900,0.0100,0.8500
121,6469,4.2000,0.2000,1.1100
441,6254,4.9000,0.0200,1.3000
212,4979,4.1100,0.0100,0.9300
332,4839,5.0000,0.0200,0.8600
124,3729,3.1300,0.2100,0.8100
213,3578,4.0200,0.1900,1.0100
321,1928,4.8500,0.1900,1.1000
412,1494,2.9800,0.0200,0.9400
324,1112,2.8600,0.3300,0.8400
413,1027,4.0100,0.2700,1.0100
344,1,3.8500,3.8500,3.8500
