1111,20421,3.7600,0.1900,1.3200
4444,18039,4.8400,0.0100,0.8600
1114,15936,3.1600,0.0100,0.9400
4311,14874,3.8200,0.2600,1.2400
1124,14253,2.8900,0.0300,0.8500
1144,13383,3.4200,0.1100,0.7700
4431,12150,3.7400,0.2300,0.9200
1184,12093,2.6000,0.0500,0.7800
1244,11634,3.1000,0.0400,0.7700
1112,11613,3.5400,0.0100,1.1800
1444,11511,2.9400,0.0200,0.7700
1118,10947,2.2000,0.2000,0.9200
4111,10659,3.6800,0.1900,1.3700
4443,10449,4.9500,0.2400,0.8100
3111,10335,3.5400,0.1700,1.3600
4711,10194,3.8500,0.1700,1.2700
1143,10032,1.9700,0.2200,0.7600
1243,9642,2.4500,0.2100,0.7300
4411,9417,3.5400,0.2600,1.2400
1844,9189,2.5700,0.1300,0.7500
4471,8442,3.4600,0.2200,0.9700
1431,8337,3.4200,0.1500,1.0100
1123,8223,2.6300,0.3100,0.8900
1443,7746,2.9200,0.2000,0.7300
7111,7680,3.4900,0.2300,1.3700
2444,7500,3.0700,0.0100,0.8100
3114,7326,3.0700,0.0400,0.9200
4314,7311,2.7400,0.1400,0.8400
1843,7005,2.4400,0.2300,0.7100
8444,6930,2.8900,0.0100,0.8400
4447,6930,3.5000,0.1500,0.7100
1231,6924,3.2200,0.2800,1.1300
4324,6828,2.5400,0.1800,0.7900
4124,6678,2.7700,0.2400,0.8400
4114,6576,3.0100,0.0500,0.8900
4441,6477,3.1700,0.2900,0.9600
3124,6447,3.1100,0.3100,0.8600
1117,6315,2.3800,0.3600,0.9500
2431,6270,3.2900,0.2700,0.9800
3112,6036,3.7400,0.0100,1.1800
4312,5946,3.5600,0.0100,0.9900
7114,5847,3.0800,0.3000,0.9400
3144,5778,3.8000,0.2600,0.8200
4434,5577,3.1000,0.2800,0.8500
4344,5445,2.5300,0.0900,0.8500
1171,5343,3.1200,0.2600,1.1800
1241,5343,3.5100,0.2400,1.0400
2411,5253,4.1900,0.3000,1.3200
3118,5244,2.0000,0.2800,0.9400
1411,5178,3.5500,0.4400,1.3600
4112,5154,3.3000,0.0100,1.1500
4744,5154,2.7600,0.2500,0.8800
3244,5142,2.4400,0.2700,0.8300
8431,5118,3.0300,0.0900,0.9900
4474,5100,2.5400,0.2200,0.8300
2311,5064,3.6200,0.3600,1.3400
1141,4947,3.4000,0.3700,1.1300
4318,4881,2.1700,0.1000,0.8400
2443,4839,2.7900,0.2400,0.7500
3184,4812,2.6000,0.0200,0.8000
4118,4767,2.7600,0.2200,0.9100
1441,4761,3.3400,0.3400,0.9800
4412,4725,2.8500,0.0300,1.0400
4714,4713,2.5900,0.0400,0.8700
7124,4713,4.4000,0.0300,0.8600
1811,4710,3.3000,0.4300,1.3100
1711,4608,3.5500,0.1700,1.3100
1181,4590,3.0800,0.3300,1.1300
