date[2003-09-16] buy[139300] price[7.15] cash[532.4585] value[996527.4585]
date[2003-09-17] sell[139300] price[7.02] cash[977147.2067] benerfit[-19679.0503]
date[2003-09-19] buy[138100] price[7.07] cash[487.2966] value[976854.2966]
date[2003-09-22] sell[138100] price[7.04] cash[971447.4054] benerfit[-5699.8013]
date[2003-09-23] buy[136900] price[7.09] cash[535.2191] value[971156.2191]
date[2003-09-25] sell[136900] price[7.02] cash[960323.8697] benerfit[-11123.5357]
date[2003-09-30] buy[138900] price[6.91] cash[236.9300] value[960035.9300]
date[2003-10-08] sell[138900] price[6.92] cash[960175.3856] benerfit[-148.4841]
date[2003-10-10] buy[136100] price[7.05] cash[382.5341] value[959887.5341]
date[2003-10-13] sell[136100] price[7.04] cash[957280.9469] benerfit[-2894.4387]
date[2003-10-14] buy[137400] price[6.96] cash[690.0557] value[956994.0557]
date[2003-10-15] sell[137400] price[6.94] cash[953006.4329] benerfit[-4274.5140]
date[2003-10-22] buy[137400] price[6.93] cash[538.7783] value[952720.7783]
date[2003-10-23] sell[137400] price[6.80] cash[933644.1623] benerfit[-19362.2706]
date[2003-10-29] buy[143800] price[6.49] cash[102.1837] value[933364.1837]
date[2003-10-30] sell[143800] price[6.41] cash[920661.8983] benerfit[-12982.2640]
date[2003-11-03] buy[141100] price[6.52] cash[413.9067] value[920385.9067]
date[2003-11-05] sell[141100] price[6.52] cash[919189.9431] benerfit[-1471.9552]
date[2003-11-10] buy[151800] price[6.05] cash[524.4261] value[918914.4261]
date[2003-11-17] sell[151800] price[6.07] cash[920752.5723] benerfit[1562.6292]
date[2003-11-19] buy[149400] price[6.16] cash[172.4811] value[920476.4811]
date[2003-11-20] sell[149400] price[6.57] cash[980454.4557] benerfit[59701.8834]
date[2003-11-24] buy[150300] price[6.52] cash[204.4689] value[980160.4689]
date[2003-11-26] sell[150300] price[6.80] cash[1020915.8169] benerfit[40461.3612]
date[2003-12-02] buy[152100] price[6.71] cash[18.6396] value[1020609.6396]
date[2003-12-03] sell[152100] price[6.72] cash[1020801.8940] benerfit[-113.9229]
date[2003-12-04] buy[150000] price[6.80] cash[495.8940] value[1020495.8940]
date[2003-12-05] sell[150000] price[6.75] cash[1011679.6440] benerfit[-9122.2500]
date[2003-12-10] buy[148200] price[6.82] cash[652.4268] value[1011376.4268]
date[2003-12-11] sell[148200] price[6.92] cash[1024863.2196] benerfit[13183.5756]
date[2003-12-19] buy[167900] price[6.10] cash[365.9626] value[1024555.9626]
date[2003-12-23] sell[167900] price[6.32] cash[1060114.4962] benerfit[35251.2766]
date[2003-12-25] buy[166600] price[6.36] cash[220.6234] value[1059796.6234]
date[2003-12-29] sell[166600] price[6.29] cash[1046772.3352] benerfit[-13342.1610]
date[2003-12-30] buy[165500] price[6.32] cash[498.5472] value[1046458.5472]
date[2003-12-31] sell[165500] price[6.27] cash[1036834.5567] benerfit[-9937.7785]
date[2004-01-02] buy[162200] price[6.39] cash[65.6193] value[1036523.6193]
date[2004-01-05] sell[162200] price[6.45] cash[1044895.5723] benerfit[8061.0156]
date[2004-01-07] buy[159700] price[6.54] cash[144.2409] value[1044582.2409]
date[2004-01-08] sell[159700] price[6.72] cash[1071933.1017] benerfit[27037.5294]
date[2004-01-13] buy[159200] price[6.73] cash[195.6769] value[1071611.6769]
date[2004-01-14] sell[159200] price[6.66] cash[1059089.3233] benerfit[-12843.7784]
date[2004-01-15] buy[158000] price[6.70] cash[171.7433] value[1058771.7433]
date[2004-01-29] sell[158000] price[7.25] cash[1144182.5933] benerfit[85093.2700]
date[2004-02-02] buy[159300] price[7.18] cash[65.4611] value[1143839.4611]
date[2004-02-04] sell[159300] price[7.32] cash[1164625.5623] benerfit[20442.9690]
date[2004-02-09] buy[159900] price[7.28] cash[204.3407] value[1164276.3407]
date[2004-02-10] sell[159900] price[7.42] cash[1185119.9453] benerfit[20494.3830]
date[2004-02-12] buy[157500] price[7.52] cash[364.6253] value[1184764.6253]
date[2004-02-13] sell[157500] price[7.36] cash[1158057.6653] benerfit[-27062.2800]
date[2004-02-16] buy[153300] price[7.55] cash[295.4408] value[1157710.4408]
date[2004-02-17] sell[153300] price[7.69] cash[1177639.9007] benerfit[19582.2354]
date[2004-02-19] buy[151700] price[7.76] cash[94.7431] value[1177286.7431]
date[2004-02-20] sell[151700] price[7.78] cash[1178786.4493] benerfit[1146.5486]
date[2004-02-26] buy[166200] price[7.09] cash[74.9419] value[1178432.9419]
date[2004-03-02] sell[166200] price[7.21] cash[1196819.1493] benerfit[18032.7000]
date[2004-03-04] buy[161600] price[7.40] cash[620.3973] value[1196460.3973]
date[2004-03-05] sell[161600] price[7.22] cash[1165855.6197] benerfit[-30963.5296]
date[2004-03-10] buy[164300] price[7.09] cash[619.1536] value[1165506.1536]
date[2004-03-11] sell[164300] price[7.13] cash[1170555.2569] benerfit[4699.6372]
date[2004-03-15] buy[161100] price[7.26] cash[618.3811] value[1170204.3811]
date[2004-03-16] sell[161100] price[7.35] cash[1183164.0706] benerfit[12608.8137]
date[2004-03-19] buy[160200] price[7.38] cash[533.3878] value[1182809.3878]
date[2004-03-22] sell[160200] price[7.51] cash[1202071.3552] benerfit[18907.2846]
date[2004-03-26] buy[160200] price[7.50] cash[210.9052] value[1201710.9052]
date[2004-03-29] sell[160200] price[7.41] cash[1185749.6986] benerfit[-16321.6566]
date[2004-03-30] buy[158400] price[7.48] cash[562.2490] value[1185394.2490]
date[2004-03-31] sell[158400] price[7.60] cash[1202837.2570] benerfit[17087.5584]
date[2004-04-06] buy[152200] price[7.90] cash[96.5430] value[1202476.5430]
date[2004-04-07] sell[152200] price[7.91] cash[1202433.4704] benerfit[-403.7866]
date[2004-04-12] buy[154100] price[7.80] cash[92.8764] value[1202072.8764]
date[2004-04-14] sell[154100] price[7.77] cash[1195893.3123] benerfit[-6540.1581]
date[2004-04-16] buy[156000] price[7.66] cash[574.8243] value[1195534.8243]
date[2004-04-20] sell[156000] price[7.68] cash[1197097.3203] benerfit[1204.0080]
date[2004-04-21] buy[153800] price[7.78] cash[174.3511] value[1196738.3511]
date[2004-04-23] sell[153800] price[7.78] cash[1195182.8179] benerfit[-1914.5024]
date[2004-04-26] buy[150200] price[7.95] cash[734.5909] value[1194824.5909]
