date[2003-08-15] sell[117600] price[7.79] cash[915657.2399] benerfit[-4994.8248]
date[2003-08-19] buy[116900] price[7.83] cash[55.6418] value[915382.6418]
date[2003-08-21] sell[116900] price[7.97] cash[930537.4409] benerfit[14880.2010]
date[2003-09-02] buy[122700] price[7.58] cash[192.4211] value[930258.4211]
date[2003-09-03] sell[122700] price[7.51] cash[920471.5010] benerfit[-10065.9399]
date[2003-09-04] buy[123100] price[7.47] cash[638.6339] value[920195.6339]
date[2003-09-05] sell[123100] price[7.31] cash[899329.8146] benerfit[-21141.6864]
date[2003-09-09] buy[123100] price[7.30] cash[430.2256] value[899060.2256]
date[2003-09-10] sell[123100] price[7.36] cash[905268.4048] benerfit[5938.5902]
date[2003-09-11] buy[122200] price[7.40] cash[717.1208] value[904997.1208]
date[2003-09-12] sell[122200] price[7.23] cash[883074.5630] benerfit[-22193.8418]
date[2003-09-16] buy[123400] price[7.15] cash[499.8700] value[882809.8700]
date[2003-09-17] sell[123400] price[7.02] cash[865641.7216] benerfit[-17432.8414]
date[2003-09-19] buy[122400] price[7.07] cash[14.1112] value[865382.1112]
date[2003-09-22] sell[122400] price[7.04] cash[860589.9064] benerfit[-5051.8152]
date[2003-09-23] buy[121300] price[7.09] cash[314.9013] value[860331.9013]
date[2003-09-25] sell[121300] price[7.02] cash[850733.9175] benerfit[-9855.9889]
date[2003-09-26] buy[121100] price[7.02] cash[356.8809] value[850478.8809]
date[2003-09-29] sell[121100] price[6.84] cash[827604.0597] benerfit[-23129.8578]
date[2003-09-30] buy[119700] price[6.91] cash[228.9216] value[827355.9216]
date[2003-10-08] sell[119700] price[6.92] cash[827476.1004] benerfit[-127.9593]
date[2003-10-10] buy[117300] price[7.05] cash[263.0109] value[827228.0109]
date[2003-10-13] sell[117300] price[7.04] cash[824981.4813] benerfit[-2494.6191]
date[2003-10-14] buy[118400] price[6.96] cash[670.2621] value[824734.2621]
date[2003-10-15] sell[118400] price[6.94] cash[821298.0573] benerfit[-3683.4240]
date[2003-10-22] buy[118400] price[6.93] cash[539.9037] value[821051.9037]
date[2003-10-23] sell[118400] price[6.80] cash[804613.2477] benerfit[-16684.8096]
date[2003-11-03] buy[123300] price[6.52] cash[456.0729] value[804372.0729]
date[2003-11-05] sell[123300] price[6.52] cash[803326.9821] benerfit[-1286.2656]
date[2003-11-11] buy[132000] price[6.08] cash[526.2141] value[803086.2141]
