000027,深圳能源,电力,0,0,2018-10-17,"2018-10-17 19:22:19",5.42,4.81,0.17,19.94,46.43,152.09,303.65,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000028,国药一致,医药商业,0,0,2018-10-17,"2018-10-17 19:22:15",45.48,41,1.18,169.04,390.39,1293.56,2643.38,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000029,深深房Ａ,房地产开发,1,0,2016-09-13,"2018-10-17 19:22:11",11.48,10.55,0.35,43.94,98.98,325.42,642.54,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000030,富奥股份,汽车零部件,0,0,2018-10-17,"2018-10-17 19:22:20",4.21,3.33,0.27,14.09,34.56,118.57,274.13,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000031,中粮地产,房地产开发,0,0,2018-10-17,"2018-10-17 19:22:15",5.7,4.58,0.42,19.06,46.42,158.66,332.75,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000032,深桑达Ａ,通信设备,0,0,2018-10-17,"2018-10-17 19:22:19",7.54,6.21,0.48,25.79,62.21,214.41,450.61,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000034,神州数码,贸易,0,0,2018-10-17,"2018-10-17 19:22:13",14.96,11.39,1,50,118.98,403.48,839.39,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000035,中国天楹,环保工程,0,0,2018-10-17,"2018-10-17 19:22:16",4.69,4.12,0.2,17.41,39.86,126,259.34,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000036,华联控股,房地产开发,0,0,2018-10-17,"2018-10-17 19:22:13",5.09,3.97,0.4,16.59,41.13,143.45,309.03,847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000037,深南电A,电力,0,0,2018-10-17,"2018-10-17 19:22:20",5.55,4.43,0.28,19.09,45.32,155.43,331.95,847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000038,深大通,传媒,0,0,2018-10-17,"2018-10-17 19:22:15",13.32,11.19,0.25,48.8,111.08,365.85,923.05,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000039,中集集团,通用设备,0,0,2018-10-17,"2018-10-17 19:22:11",11.66,9.12,0.66,40.18,96.35,321.23,675.54,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000040,东旭蓝天,房地产开发,0,0,2018-10-17,"2018-10-17 19:22:13",10.84,9.68,0.28,40.71,93.48,311.28,624.9,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000042,中洲控股,房地产开发,0,0,2018-10-17,"2018-10-17 19:22:20",18.16,14.1,0.88,64.94,155.13,499.64,997.34,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000043,中航地产,房地产开发,0,0,2018-10-17,"2018-10-17 19:22:19",6.96,5.88,0.33,24.59,58.57,196.15,409.55,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000045,深纺织Ａ,光学光电子,0,0,2018-10-17,"2018-10-17 19:22:18",6.38,5.12,0.42,21.38,51.99,180.44,391.9,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
