日期,股票代码,名称,收盘价,最高价,最低价,开盘价,成交量,成交金额
2018-07-05,'399905,中证 500,4982.7627,5126.4735,4981.7793,5109.1425,5292741400,52638805702.9
2018-07-04,'399905,中证 500,5121.3436,5180.2744,5102.782,5171.1897,5385995100,53143823674.5
2018-07-03,'399905,中证 500,5197.1313,5203.3646,5054.6573,5138.5477,6142423300,64268450147.8
2018-07-02,'399905,中证 500,5138.7826,5238.6382,5100.8747,5216.8532,5524892900,58629477980.9
2018-06-29,'399905,中证 500,5217.7643,5218.9061,5054.0532,5061.0885,5723493700,57894812192.6
2018-06-28,'399905,中证 500,5055.1093,5150.655,5050.324,5097.5086,4776751800,46664972984.3
2018-06-27,'399905,中证 500,5109.4975,5188.2017,5089.711,5159.6219,4985784100,48613424210.3
2018-06-26,'399905,中证 500,5160.2829,5170.1673,5044.2434,5059.3834,5106658700,49773352500.2
2018-06-25,'399905,中证 500,5125.0333,5211.7609,5121.2091,5196.6483,4786081100,46663143996.8
2018-06-22,'399905,中证 500,5160.1228,5165.0353,5017.509,5052.436,5168920600,49898726273.8
2018-06-21,'399905,中证 500,5089.2522,5244.6532,5086.931,5196.1295,6324047800,60429343500.6
2018-06-20,'399905,中证 500,5198.3935,5222.8827,5090.2209,5114.0613,6032941700,57106400036.8
2018-06-19,'399905,中证 500,5141.7095,5409.4108,5070.2182,5396.6847,8298635300,76922845435.4
2018-06-15,'399905,中证 500,5483.9446,5593.6872,5448.0748,5582.8396,5644857400,59537596123.6
2018-06-14,'399905,中证 500,5586.9314,5645.194,5570.8344,5590.5682,4441970900,49865462907.5
2018-06-13,'399905,中证 500,5607.0173,5679.6739,5605.5454,5678.8092,4923421400,53944405089.9
2018-06-12,'399905,中证 500,5693.3461,5693.6129,5594.9231,5638.3479,4664535800,54189505136.9
2018-06-11,'399905,中证 500,5632.3566,5672.6279,5612.8656,5657.6488,4310969100,48746492298.7
2018-06-08,'399905,中证 500,5669.3031,5731.8389,5630.6578,5731.8389,5292555500,58767162889.8
2018-06-07,'399905,中证 500,5738.0176,5798.3297,5734.6345,5786.4601,4737619100,54089371805.6
2018-06-06,'399905,中证 500,5774.2575,5784.6061,5748.701,5770.7144,4818250800,56304602755.6
2018-06-05,'399905,中证 500,5779.0778,5779.862,5680.4942,5681.2157,4741047000,56450385317.5
2018-06-04,'399905,中证 500,5683.1486,5707.4932,5652.1361,5692.9699,4675028200,54050300212.8
