00000,1224838,352600,62801,0.1781
00001,1224838,44502,7958,0.1788
00010,1224838,16906,2625,0.1553
00011,1224838,85472,14568,0.1704
00100,1224838,137814,9090,0.0660
00101,1224838,19501,1558,0.0799
00110,1224838,52461,3445,0.0657
00111,1224838,286416,18982,0.0663
01000,1224838,711248,154658,0.2174
01001,1224838,280793,60534,0.2156
01010,1224838,34789,4917,0.1413
01011,1224838,424475,62197,0.1465
01100,1224838,28588,1242,0.0434
01101,1224838,11524,597,0.0518
01110,1224838,46056,1890,0.0410
01111,1224838,511010,17878,0.0350
10000,1224838,452070,98602,0.2181
10001,1224838,49115,10201,0.2077
10010,1224838,7456,1412,0.1894
10011,1224838,23224,4712,0.2029
10100,1224838,448670,34059,0.0759
10101,1224838,35997,3397,0.0944
10110,1224838,305921,10354,0.0338
10111,1224838,829213,23274,0.0281
11000,1224838,145458,35061,0.2410
11001,1224838,26001,5743,0.2209
11010,1224838,1978,308,0.1557
11011,1224838,8699,1475,0.1696
11100,1224838,9583,324,0.0338
11101,1224838,3073,140,0.0456
11110,1224838,27290,560,0.0205
11111,1224838,206393,3031,0.0147
