日期,股票代码,名称,收盘价,最高价,最低价,开盘价,成交量,成交金额
2018-07-05,'399001,深证成指,8862.1773,9096.5389,8844.6734,9036.1212,7318756793,87699769515.2
2018-07-04,'399001,深证成指,9035.486,9200.2724,9008.089,9182.9584,7660690233,94142771577.0
2018-07-03,'399001,深证成指,9221.5357,9233.0202,8945.4191,9184.3116,8794219974,1.1525880723e+11
2018-07-02,'399001,深证成指,9179.7955,9393.0977,9107.546,9369.2438,7674211221,1.00396670141e+11
2018-06-29,'399001,深证成指,9379.4749,9381.025,9078.242,9100.5955,7988274192,94304867317.4
2018-06-28,'399001,深证成指,9071.7291,9230.8902,9065.2044,9130.5243,6802149818,80453577245.2
2018-06-27,'399001,深证成指,9168.6614,9378.0783,9139.8162,9338.0057,6965172332,85423974672.3
2018-06-26,'399001,深证成指,9339.3704,9364.5113,9175.3858,9200.9972,7553367905,88534171028.3
2018-06-25,'399001,深证成指,9324.8315,9494.4375,9320.6624,9472.9124,6989380803,85558831376.5
2018-06-22,'399001,深证成指,9409.953,9416.0896,9172.2964,9247.0189,6942835008,77095314881.4
2018-06-21,'399001,深证成指,9316.6758,9573.4859,9313.0917,9493.5044,8102578519,93692586367.2
2018-06-20,'399001,深证成指,9501.3366,9549.5296,9310.1856,9367.7442,7754764398,91608496707.7
2018-06-19,'399001,深证成指,9414.7576,9815.0127,9336.6984,9775.9661,10797546198,1.2155381434e+11
2018-06-15,'399001,深证成指,9943.1268,10108.5327,9902.6342,10077.4267,7222879782,88282305480.7
2018-06-14,'399001,深证成指,10084.1825,10213.7923,10054.3695,10124.7628,5870230395,77212238286.4
2018-06-13,'399001,深证成指,10161.6484,10287.9958,10161.3869,10280.0771,6289221215,83541502742.9
2018-06-12,'399001,深证成指,10315.2841,10322.9961,10124.9826,10187.3113,6442587468,91693960952.0
2018-06-11,'399001,深证成指,10175.3463,10242.7581,10141.2711,10191.3068,5829773090,82010766221.0
2018-06-08,'399001,深证成指,10205.5178,10291.8951,10136.5842,10290.6287,6852693843,89401165100.0
2018-06-07,'399001,深证成指,10313.8458,10411.5558,10308.0593,10397.6478,6435732510,85938531416.9
2018-06-06,'399001,深证成指,10365.1256,10403.9313,10337.7141,10375.2579,6445418406,89831958748.5
2018-06-05,'399001,深证成指,10385.6052,10385.6052,10216.0226,10216.6261,7200695788,1.00863742483e+11
2018-06-04,'399001,深证成指,10204.3167,10237.5962,10148.6938,10192.0432,6885161161,96131409131.3
2018-06-01,'399001,深证成指,10169.3541,10280.7399,10122.9886,10247.1554,7168333670,95106022244.9
2018-05-31,'399001,深证成指,10295.729,10295.729,10115.6597,10178.9632,8262504844,1.10804925232e+11
2018-05-30,'399001,深证成指,10105.7945,10252.148,10097.4764,10203.6595,9034549337,1.14776900271e+11
2018-05-29,'399001,深证成指,10349.065,10517.1374,10347.9395,10446.9876,7351195663,1.03588455301e+11
2018-05-28,'399001,深证成指,10465.5372,10536.5725,10382.7165,10439.6479,7503534169,1.03020717658e+11
2018-05-25,'399001,深证成指,10448.2249,10576.8104,10435.9467,10550.6259,7783431511,1.04156518711e+11
2018-05-24,'399001,深证成指,10564.1271,10657.4477,10552.3466,10632.5036,7057333978,99904473405.4
2018-05-23,'399001,深证成指,10631.1235,10746.8167,10631.1235,10746.8167,8087942396,1.11914108443e+11
2018-05-22,'399001,深证成指,10765.8051,10765.8051,10689.5099,10754.7021,7477178023,1.05696722994e+11
2018-05-21,'399001,深证成指,10765.3476,10789.7576,10731.6071,10741.1872,8744045344,1.21997075719e+11
2018-05-18,'399001,深证成指,10672.5222,10679.5102,10557.7502,10623.9128,6908938284,96352885889.2
2018-05-17,'399001,深证成指,10635.4985,10713.7126,10615.9224,10702.065,6455242748,92932638513.0
2018-05-16,'399001,深证成指,10701.3231,10776.4345,10691.1404,10713.5914,7435180979,1.07666472577e+11
2018-05-15,'399001,深证成指,10747.9932,10747.9932,10632.5458,10692.8209,7552319621,1.05841837435e+11
2018-05-14,'399001,深证成指,10671.4575,10723.7873,10641.2943,10649.1116,8265027771,1.20737178143e+11
2018-05-11,'399001,深证成指,10634.3004,10752.8248,10634.2271,10748.8902,8038710758,1.13838230596e+11
2018-05-10,'399001,深证成指,10729.7655,10742.641,10651.8659,10706.7286,7619766868,1.08965279382e+11
2018-05-09,'399001,深证成指,10689.0715,10705.1471,10639.9199,10693.215,6883309573,97577254979.5
2018-05-08,'399001,深证成指,10707.804,10721.9839,10630.5801,10632.112,8520007744,1.24964273346e+11
2018-05-07,'399001,深证成指,10626.5086,10626.5086,10450.494,10456.4291,8188938342,1.2219540006e+11
2018-05-04,'399001,深证成指,10426.1884,10490.0569,10411.8262,10428.8459,7007032082,1.02620544466e+11
2018-05-03,'399001,深证成指,10458.6223,10459.3851,10228.2571,10329.1609,9125858055,1.21845572924e+11
2018-05-02,'399001,深证成指,10342.8457,10433.2799,10283.5157,10356.192,7728450159,1.11005787239e+11
2018-04-27,'399001,深证成指,10324.4679,10382.767,10239.9742,10353.0232,8273453464,1.23250438329e+11
2018-04-26,'399001,深证成指,10292.1195,10508.0126,10290.3656,10495.027,9153883912,1.33371067177e+11
2018-04-25,'399001,深证成指,10547.0987,10579.1778,10488.8741,10503.9412,8687929722,1.2153689066e+11
2018-04-24,'399001,深证成指,10556.8221,10556.8221,10325.5102,10325.5102,9755981231,1.32491253459e+11
2018-04-23,'399001,深证成指,10330.629,10471.2099,10228.0937,10416.7783,9486548901,1.25896223604e+11
2018-04-20,'399001,深证成指,10408.9103,10619.1738,10392.6904,10571.9907,9711942911,1.32214307624e+11
2018-04-19,'399001,深证成指,10598.353,10646.7019,10485.4124,10502.3628,10103938826,1.43358310176e+11
2018-04-18,'399001,深证成指,10491.1497,10514.7408,10249.873,10477.5197,11097771723,1.52027063946e+11
2018-04-17,'399001,深证成指,10395.1566,10669.1499,10390.0549,10636.8761,9540379616,1.3518630958e+11
2018-04-16,'399001,深证成指,10621.7884,10704.3913,10540.6904,10660.69,9499416082,1.30949834956e+11
2018-04-13,'399001,深证成指,10687.0183,10825.6675,10670.6492,10789.7677,7245377115,1.02677861759e+11
2018-04-12,'399001,深证成指,10726.9548,10825.6643,10720.8334,10797.3529,7528267977,1.0503030809e+11
2018-04-11,'399001,深证成指,10808.37,10856.4358,10786.8367,10796.5004,8991435960,1.26699442046e+11
2018-04-10,'399001,深证成指,10765.6151,10765.6151,10628.2365,10671.6854,9227559972,1.28888346596e+11
2018-04-09,'399001,深证成指,10653.3758,10725.1054,10571.1563,10655.072,8532640553,1.21620618335e+11
2018-04-04,'399001,深证成指,10684.5618,10829.8205,10678.9355,10778.8602,8899393605,1.32178811208e+11
2018-04-03,'399001,深证成指,10754.2855,10783.9262,10667.3321,10718.4263,10023755181,1.43441760958e+11
2018-04-02,'399001,深证成指,10852.9477,10950.2173,10835.7149,10887.4704,11654340410,1.76385358937e+11
2018-03-30,'399001,深证成指,10868.6549,10883.0485,10766.5261,10776.7063,9969457395,1.49666606372e+11
2018-03-29,'399001,深证成指,10755.9202,10778.7981,10564.2852,10676.5578,9581821951,1.37923305407e+11
2018-03-28,'399001,深证成指,10630.6889,10768.4764,10613.0634,10633.7031,9948165915,1.47814573008e+11
