日期,股票代码,名称,收盘价,最高价,最低价,开盘价,成交量,成交金额
2018-07-05,'399006,创业板指,1532.6789,1576.9914,1532.4294,1560.9764,1220173766,17335825658.0
2018-07-04,'399006,创业板指,1565.6104,1596.0013,1557.5417,1595.8881,1381965400,20195859731.8
2018-07-03,'399006,创业板指,1607.1223,1613.8256,1558.0012,1589.4988,1682416652,24987570847.6
2018-07-02,'399006,创业板指,1588.3739,1614.341,1572.5622,1605.2105,1494135379,22438523116.8
2018-06-29,'399006,创业板指,1606.7147,1609.7349,1547.1489,1547.1489,1698001859,23545586006.5
2018-06-28,'399006,创业板指,1543.6637,1570.8957,1540.8901,1544.645,1363901885,18035178162.9
2018-06-27,'399006,创业板指,1546.2315,1572.607,1542.5158,1564.2875,1308420209,17239070801.7
2018-06-26,'399006,创业板指,1564.9174,1570.2761,1515.2685,1518.5002,1504094451,19729732753.5
2018-06-25,'399006,创业板指,1538.565,1566.7768,1537.2697,1563.7444,1226246696,16815288658.5
2018-06-22,'399006,创业板指,1549.6605,1555.72,1506.6166,1514.0423,1298248778,16636545409.0
2018-06-21,'399006,创业板指,1521.6761,1570.5978,1521.562,1562.3687,1502062223,19891960778.2
2018-06-20,'399006,创业板指,1563.7925,1577.6226,1525.285,1540.6101,1569173338,21912800586.8
2018-06-19,'399006,创业板指,1547.1453,1626.8682,1532.3227,1612.9009,1742320577,23630164609.1
2018-06-15,'399006,创业板指,1641.6627,1681.8886,1636.6976,1673.9043,1291392347,17846367365.6
2018-06-14,'399006,创业板指,1673.3194,1702.6858,1669.3808,1682.8364,1134642190,15477282245.8
2018-06-13,'399006,创业板指,1685.8948,1711.5298,1685.8948,1711.5298,1106325685,16191811856.4
2018-06-12,'399006,创业板指,1712.7684,1715.661,1680.9956,1692.6684,1175362264,18155996737.9
2018-06-11,'399006,创业板指,1688.6179,1708.205,1684.3145,1707.1397,1085521458,17212631982.6
2018-06-08,'399006,创业板指,1711.5224,1727.4872,1698.2457,1726.3025,1229279018,18678839172.3
2018-06-07,'399006,创业板指,1730.375,1750.506,1728.0605,1747.9323,1236865119,18712528286.4
2018-06-06,'399006,创业板指,1743.2475,1751.9696,1735.3736,1744.166,1319636607,21473439189.3
2018-06-05,'399006,创业板指,1746.113,1747.7472,1702.3665,1702.3665,1369594684,21571902285.1
2018-06-04,'399006,创业板指,1702.9297,1715.4146,1690.9907,1709.569,1235591374,19141685520.3
2018-06-01,'399006,创业板指,1709.5476,1744.011,1699.6836,1734.3501,1217432998,19237579477.8
2018-05-31,'399006,创业板指,1743.7426,1748.528,1714.8476,1741.3253,1412085125,22141861083.0
2018-05-30,'399006,创业板指,1726.2188,1758.8662,1724.2798,1744.2409,1660598732,25816809470.1
2018-05-29,'399006,创业板指,1773.6458,1815.2005,1773.6231,1795.7239,1383093954,23269234376.6
2018-05-28,'399006,创业板指,1796.9134,1815.2211,1788.0347,1804.7842,1409309000,23059071850.5
2018-05-25,'399006,创业板指,1804.5488,1841.6391,1804.5488,1835.4146,1611161056,25162324390.4
2018-05-24,'399006,创业板指,1838.4028,1855.9877,1837.4386,1847.8111,1360751116,22051259001.8
2018-05-23,'399006,创业板指,1845.9733,1876.2018,1845.8101,1869.4998,1457002518,24772467440.0
2018-05-22,'399006,创业板指,1875.9994,1876.1561,1858.1144,1860.6309,1460256672,24605985112.3
2018-05-21,'399006,创业板指,1862.4808,1870.5701,1845.7636,1845.7636,1681540082,28683693307.7
2018-05-18,'399006,创业板指,1836.7539,1839.0007,1812.6562,1829.0625,1210633820,20691469610.1
2018-05-17,'399006,创业板指,1831.2045,1851.1203,1826.2322,1845.2776,1098000805,19116438920.1
2018-05-16,'399006,创业板指,1846.6748,1862.2881,1845.087,1850.0086,1339153351,24261337353.1
2018-05-15,'399006,创业板指,1858.0114,1858.9856,1825.5047,1830.8365,1536283524,25981037334.7
2018-05-14,'399006,创业板指,1830.9804,1844.6511,1825.6946,1835.6959,1666584955,28471654881.4
2018-05-11,'399006,创业板指,1834.7797,1870.0042,1834.7797,1866.9314,1577149465,27317335235.3
2018-05-10,'399006,创业板指,1865.3588,1866.8152,1846.1113,1857.9855,1512740325,26276147294.5
2018-05-09,'399006,创业板指,1855.8086,1861.9363,1845.9035,1853.8299,1331509949,22711778571.8
2018-05-08,'399006,创业板指,1856.868,1857.9466,1842.6259,1852.6856,1537529590,26284139585.2
2018-05-07,'399006,创业板指,1852.3359,1854.3029,1819.0154,1819.6654,1615971154,27656118212.8
2018-05-04,'399006,创业板指,1814.8549,1832.9577,1812.0686,1821.0217,1402563466,23867269139.5
2018-05-03,'399006,创业板指,1826.7912,1827.7667,1767.6042,1797.1173,1832090712,29913567055.7
2018-05-02,'399006,创业板指,1801.5708,1833.2701,1788.0108,1814.6255,1586557158,26718354315.2
2018-04-27,'399006,创业板指,1805.5958,1813.5685,1779.1746,1790.3038,1698916824,28471504401.2
2018-04-26,'399006,创业板指,1781.2761,1819.4279,1780.6155,1818.6936,1573744052,26133443619.8
2018-04-25,'399006,创业板指,1819.4064,1825.2336,1795.7866,1798.0017,1757746671,30015513291.0
2018-04-24,'399006,创业板指,1806.8609,1806.9018,1749.1794,1753.643,1916645059,30267082127.1
2018-04-23,'399006,创业板指,1753.0476,1794.6819,1729.8992,1784.146,1922656778,29990602730.7
2018-04-20,'399006,创业板指,1782.8085,1830.7256,1781.2147,1813.7544,2051774839,32109180604.3
2018-04-19,'399006,创业板指,1820.2808,1839.1273,1812.9339,1815.4474,1885637415,31146652619.7
2018-04-18,'399006,创业板指,1822.2644,1832.9872,1757.3913,1793.8286,2285632761,38338720337.7
2018-04-17,'399006,创业板指,1783.7407,1849.6874,1783.7407,1843.7469,2005464903,33639826302.2
2018-04-16,'399006,创业板指,1838.7088,1852.0824,1816.3232,1818.2533,1913073491,31883517873.3
2018-04-13,'399006,创业板指,1824.5943,1848.9156,1822.6587,1840.868,1406920919,23789671032.9
2018-04-12,'399006,创业板指,1826.8897,1848.631,1826.6923,1830.9082,1378586349,23865489631.0
2018-04-11,'399006,创业板指,1834.6256,1857.9173,1832.4231,1840.0903,1701466291,28635892943.8
2018-04-10,'399006,创业板指,1835.5201,1842.2198,1811.3477,1838.8845,1908926038,31565172317.7
2018-04-09,'399006,创业板指,1841.6531,1862.9662,1819.0943,1830.8782,1762295881,29258623308.6
2018-04-04,'399006,创业板指,1836.8127,1887.1135,1834.6744,1880.3293,1874506458,31731756968.8
2018-04-03,'399006,创业板指,1872.4701,1886.9747,1850.0103,1869.8724,2100034078,36898835496.3
2018-04-02,'399006,创业板指,1900.2546,1918.2178,1891.958,1911.566,2541285443,46471225585.9
2018-03-30,'399006,创业板指,1900.4817,1900.9565,1849.2469,1850.2007,2623402080,43964932658.0
2018-03-29,'399006,创业板指,1842.1872,1857.3248,1825.9683,1843.4417,2052822817,34133240143.0
2018-03-28,'399006,创业板指,1835.1539,1856.885,1816.437,1819.6562,2439210778,39953772553.4
2018-03-27,'399006,创业板指,1844.6929,1846.5413,1797.0867,1799.1471,2696123074,43931110643.7
2018-03-26,'399006,创业板指,1780.6093,1781.8371,1693.7345,1704.3549,2154104374,34053005016.8
2018-03-23,'399006,创业板指,1726.0209,1792.2309,1710.4034,1751.7434,2692857868,41229041592.7
2018-03-22,'399006,创业板指,1817.2279,1841.4029,1814.6862,1830.5589,1800513819,28588172379.7
2018-03-21,'399006,创业板指,1829.9129,1877.1343,1829.9129,1866.81,2064826954,34531470574.8
2018-03-20,'399006,创业板指,1864.6204,1867.4593,1825.6745,1828.0059,1773914721,29997277900.1
2018-03-19,'399006,创业板指,1842.9199,1860.2019,1818.6202,1822.6029,1923505884,31472233715.0
2018-03-16,'399006,创业板指,1821.3223,1857.1499,1821.3223,1847.1783,1779726632,29199887831.4
2018-03-15,'399006,创业板指,1848.7105,1848.7151,1812.4807,1833.7697,1811071838,29622752971.4
2018-03-14,'399006,创业板指,1841.2893,1874.153,1840.349,1863.5732,1768239605,30207200518.9
2018-03-13,'399006,创业板指,1872.6782,1896.5036,1863.1604,1879.6259,2197160499,37046306375.8
2018-03-12,'399006,创业板指,1882.409,1901.1509,1872.0283,1872.0283,2785597504,46815198308.3
2018-03-09,'399006,创业板指,1856.4554,1858.028,1793.924,1794.2543,2795514742,43628201555.2
2018-03-08,'399006,创业板指,1793.2216,1795.8172,1781.4561,1783.1036,1391903853,22716800808.7
2018-03-07,'399006,创业板指,1785.2696,1800.4506,1780.296,1795.1742,1582019949,24795584734.5
2018-03-06,'399006,创业板指,1797.6095,1810.2557,1790.5427,1798.0348,1953134524,31983007630.8
2018-03-05,'399006,创业板指,1795.6928,1795.6928,1768.8814,1780.8221,1671133970,26712809313.0
2018-03-02,'399006,创业板指,1772.0054,1804.2504,1767.9007,1777.4579,2072233082,32519576663.7
2018-03-01,'399006,创业板指,1789.8488,1789.8488,1741.0284,1744.3405,2319276568,35260652185.8
2018-02-28,'399006,创业板指,1753.6274,1773.7326,1723.395,1730.152,2164076306,33627712850.8
2018-02-27,'399006,创业板指,1743.5413,1757.3743,1728.3112,1729.9369,2284075241,35145173008.2
2018-02-26,'399006,创业板指,1729.1527,1733.7081,1673.9535,1683.1462,1992136497,31505927863.9
2018-02-23,'399006,创业板指,1668.8345,1681.2445,1656.9532,1674.6236,1252009197,19167872750.0
2018-02-22,'399006,创业板指,1677.7647,1679.7936,1650.8754,1661.5586,1400531539,21058909191.2
2018-02-14,'399006,创业板指,1646.7714,1652.009,1633.7621,1649.573,1002437795,14837087755.7
2018-02-13,'399006,创业板指,1648.5816,1669.0786,1644.8655,1657.1278,1491516655,23062872042.3
2018-02-12,'399006,创业板指,1648.0721,1654.6537,1604.5617,1604.5617,1670387810,24556171267.1
2018-02-09,'399006,创业板指,1592.5102,1629.356,1576.8856,1598.4754,2087645978,29316049828.1
2018-02-08,'399006,创业板指,1641.4307,1651.5859,1608.6313,1608.7295,1826038931,26057068472.5
2018-02-07,'399006,创业板指,1616.4003,1637.7767,1571.4705,1632.8716,2270200263,31783593092.8
2018-02-06,'399006,创业板指,1598.1161,1675.5631,1597.8857,1653.447,2027177810,29407277279.4
2018-02-05,'399006,创业板指,1688.2724,1698.2811,1674.9753,1678.1874,1489730902,22158856716.2
2018-02-02,'399006,创业板指,1702.4264,1726.8897,1676.2426,1683.179,1771725421,26715222491.9
2018-02-01,'399006,创业板指,1697.39,1746.5451,1697.39,1735.6633,1902954178,28630084645.8
2018-01-31,'399006,创业板指,1735.057,1767.7766,1732.9799,1766.7667,2011389247,30368533583.9
2018-01-30,'399006,创业板指,1782.399,1808.0106,1779.3301,1794.3275,1771170739,26869541029.9
2018-01-29,'399006,创业板指,1799.7709,1826.097,1791.578,1811.5422,2226394477,34735723839.6
2018-01-26,'399006,创业板指,1816.8003,1830.5473,1809.1313,1809.1313,2020478986,31592970402.7
2018-01-25,'399006,创业板指,1810.8346,1852.2259,1807.5149,1811.1143,2959538879,46192526241.3
2018-01-24,'399006,创业板指,1813.2751,1817.0838,1752.3042,1763.6864,2749470267,44774741009.5
2018-01-23,'399006,创业板指,1767.829,1776.4945,1760.339,1767.3304,1358853808,23082959807.1
2018-01-22,'399006,创业板指,1768.214,1776.1814,1715.4275,1726.3173,1891202901,30346355010.5
2018-01-19,'399006,创业板指,1728.1396,1745.5924,1726.5274,1735.0304,1345378952,21963665052.2
2018-01-18,'399006,创业板指,1738.0019,1754.6164,1734.7749,1735.4592,1114188507,17553593535.4
